,esp,fecha,nota,legajo,materia,nombre_de_,ingr,Carrera,Recibido
2098,81,14-Jul-99,5,9480,127,Informática I,1998.0,Indeterminado,Ndeah
2099,81,09-Dec-99,4,9480,209,Legislación,1998.0,Indeterminado,Ndeah
2100,84,15-Jul-98,8,9495,101,Álgebra y Geometría(Plan 95),1998.0,Indeterminado,Ndeah
2101,84,07-Oct-98,5,9495,102,Análisis Matemático,1998.0,Indeterminado,Ndeah
2102,84,15-Jul-98,6,9495,121,Introducción a la Producción Agraria,1998.0,Indeterminado,Ndeah
2103,84,17-Feb-99,6,9495,122,Producción Agraria I,1998.0,Indeterminado,Ndeah
2105,84,15-Mar-00,7,9495,123,Instalaciones Agrarias(Plan 95),1998.0,Indeterminado,Ndeah
2206,84,05-Aug-98,2,9576,101,Álgebra y Geometría(Plan 95),1998.0,Indeterminado,Ndeah
2207,84,07-Oct-98,4,9576,101,Álgebra y Geometría(Plan 95),1998.0,Indeterminado,Ndeah
2208,84,03-Mar-99,5,9576,102,Análisis Matemático,1998.0,Indeterminado,Ndeah
2210,84,07-Oct-98,4,9576,121,Introducción a la Producción Agraria,1998.0,Indeterminado,Ndeah
2212,84,06-Aug-99,5,9576,122,Producción Agraria I,1998.0,Indeterminado,Ndeah
2213,84,12-May-99,4,9576,123,Instalaciones Agrarias(Plan 95),1998.0,Indeterminado,Ndeah
2256,84,15-Jul-98,5,9593,101,Álgebra y Geometría(Plan 95),1998.0,Indeterminado,Ndeah
2258,84,15-Jul-98,7,9593,121,Introducción a la Producción Agraria,1998.0,Indeterminado,Ndeah
2272,84,09-Dec-98,5,9626,101,Álgebra y Geometría(Plan 95),1998.0,Indeterminado,Ndeah
2273,84,15-Jul-98,6,9626,121,Introducción a la Producción Agraria,1998.0,Indeterminado,Ndeah
2346,84,07-Oct-98,7,9665,121,Introducción a la Producción Agraria,1998.0,Indeterminado,Ndeah
2347,84,17-Feb-99,4,9665,122,Producción Agraria I,1998.0,Indeterminado,Ndeah
2778,84,12-Mar-01,4,9901,101,Álgebra y Geometría(Plan 95),1999.0,Indeterminado,Ndeah
2783,84,06-Dec-99,4,9901,111,Inglés  I,1999.0,Indeterminado,Ndeah
2784,84,20-Oct-99,6,9901,121,Introducción a la Producción Agraria,1999.0,Indeterminado,Ndeah
2786,84,15-Dec-00,2,9901,122,Producción Agraria I,1999.0,Indeterminado,Ndeah
2787,84,02-Mar-01,6,9901,122,Producción Agraria I,1999.0,Indeterminado,Ndeah
2788,84,01-Mar-00,4,9901,123,Instalaciones Agrarias(Plan 95),1999.0,Indeterminado,Ndeah
2806,84,04-Aug-99,5,9932,121,Introducción a la Producción Agraria,1999.0,Indeterminado,Ndeah
2807,84,01-Mar-00,5,9932,123,Instalaciones Agrarias(Plan 95),1999.0,Indeterminado,Ndeah
3044,32,03-Dec-99,10,10084,122,Biología General,1999.0,Indeterminado,Ndeah
3045,32,20-Oct-99,9,10084,124,Química General,1999.0,Indeterminado,Ndeah
3088,32,02-Aug-02,4,10134,121,Industrias Alimentarias I,2002.0,Indeterminado,Ndeah
3090,32,06-May-02,2,10134,122,Biología General,2002.0,Indeterminado,Ndeah
3092,32,05-May-03,4,10134,122,Biología General,2002.0,Indeterminado,Ndeah
3093,32,08-Aug-01,7,10134,124,Química General,2002.0,Indeterminado,Ndeah
3095,32,10-Dec-01,4,10134,125,Economía General,2002.0,Indeterminado,Ndeah
3097,32,14-Jul-03,3,10134,127,Química Inorgánica,2002.0,Indeterminado,Ndeah
3100,32,09-Oct-02,7,10134,230,Legislación Sanitaria,2002.0,Indeterminado,Ndeah
3104,32,15-Dec-00,7,10150,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3105,32,06-Aug-99,7,10150,123,Matemática General,1999.0,Indeterminado,Ndeah
3107,32,04-Dec-00,9,10150,124,Química General,1999.0,Indeterminado,Ndeah
3108,32,06-Dec-00,6,10150,127,Química Inorgánica,1999.0,Indeterminado,Ndeah
3109,32,03-Dec-99,5,10165,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3110,32,10-Dec-99,6,10165,123,Matemática General,1999.0,Indeterminado,Ndeah
3111,32,20-Oct-99,7,10165,124,Química General,1999.0,Indeterminado,Ndeah
3113,32,10-May-00,4,10165,127,Química Inorgánica,1999.0,Indeterminado,Ndeah
3168,32,03-Dec-99,9,10231,121,Industrias Alimentarias I,1999.0,Indeterminado,Ndeah
3169,32,02-Aug-99,9,10231,122,Biología General,1999.0,Indeterminado,Ndeah
3170,32,02-Aug-99,9,10231,122,Biología General,1999.0,Indeterminado,Ndeah
